t,r,l,s
1667412000,1.1734,53.99,46.01
1667433600,1.5727,61.13,38.87
1667455200,1.5536,60.84,39.16
1667476800,1.6882,62.8,37.2
1667498400,1.5974,61.5,38.5
1667520000,1.6199,61.83,38.17
1667541600,1.5478,60.75,39.25
1667563200,1.1482,53.45,46.55
1667584800,0.9833,49.58,50.42
1667606400,0.8113,44.79,55.21
1667628000,0.7467,42.75,57.25
1667649600,0.7289,42.16,57.84
1667671200,0.7528,42.95,57.05
1667692800,0.7452,42.7,57.3
1667714400,0.7646,43.33,56.67
1667736000,0.8315,45.4,54.6
1667757600,0.8619,46.29,53.71
1667779200,0.9033,47.46,52.54
1667800800,1.1115,52.64,47.36
1667822400,1.3485,57.42,42.58
1667844000,1.4826,59.72,40.28
1667865600,1.6903,62.83,37.17
1667887200,2.1299,68.05,31.95
1667908800,2.2165,68.91,31.09
1667930400,2.2415,69.15,30.85
1667952000,3.2052,76.22,23.78
1667973600,2.9857,74.91,25.09
1667995200,3.0371,75.23,24.77
1668016800,3.095,75.58,24.42
1668038400,2.5051,71.47,28.53
1668060000,2.7807,73.55,26.45
1668081600,2.3146,69.83,30.17
1668103200,1.891,65.41,34.59
1668124800,2.013,66.81,33.19
1668146400,2.3047,69.74,30.26
1668168000,2.0321,67.02,32.98
1668189600,2.1289,68.04,31.96
1668211200,2.2175,68.92,31.08
1668232800,2.1407,68.16,31.84
1668254400,2.0684,67.41,32.59
1668276000,1.9172,65.72,34.28
1668297600,1.9551,66.16,33.84
1668319200,2.0139,66.82,33.18
1668340800,2.2425,69.16,30.84
1668362400,2.2755,69.47,30.53
1668384000,2.44,70.93,29.07
1668405600,2.4953,71.39,28.61
1668427200,1.8802,65.28,34.72
1668448800,2.0902,67.64,32.36
1668470400,2.4002,70.59,29.41
1668492000,1.9833,66.48,33.52
1668513600,1.7473,63.6,36.4
1668535200,1.5297,60.47,39.53
1668556800,1.5323,60.51,39.49
1668578400,1.5044,60.07,39.93
1668600000,1.7457,63.58,36.42
1668621600,2.3367,70.03,29.97
1668643200,2.2852,69.56,30.44
1668664800,2.2468,69.2,30.8
1668686400,2.0193,66.88,33.12
1668708000,1.8835,65.32,34.68
1668729600,1.6969,62.92,37.08
1668751200,1.6212,61.85,38.15
1668772800,1.8273,64.63,35.37
1668794400,1.9078,65.61,34.39
1668816000,2.0084,66.76,33.24
1668837600,2.0102,66.78,33.22
1668859200,1.9976,66.64,33.36
1668880800,1.9568,66.18,33.82
1668902400,1.9146,65.69,34.31
1668924000,1.9815,66.46,33.54
1668945600,1.9516,66.12,33.88
1668967200,1.994,66.6,33.4
1668988800,2.2669,69.39,30.61
1669010400,2.5423,71.77,28.23
1669032000,2.5894,72.14,27.86
1669053600,2.5537,71.86,28.14
1669075200,2.6417,72.54,27.46
1669096800,2.5689,71.98,28.02
1669118400,2.5587,71.9,28.1
1669140000,1.8662,65.11,34.89
1669161600,1.9922,66.58,33.42
1669183200,1.6247,61.9,38.1
1669204800,1.4486,59.16,40.84
1669226400,1.4184,58.65,41.35
1669248000,1.5413,60.65,39.35
1669269600,1.429,58.83,41.17
1669291200,1.3855,58.08,41.92
1669312800,1.3804,57.99,42.01
1669334400,1.3929,58.21,41.79
1669356000,1.4021,58.37,41.63
1669377600,1.4462,59.12,40.88
1669399200,1.4313,58.87,41.13
1669420800,1.4408,59.03,40.97
1669442400,1.4184,58.65,41.35
1669464000,1.4096,58.5,41.5
1669485600,1.4372,58.97,41.03
1669507200,1.4882,59.81,40.19
1669528800,1.4716,59.54,40.46
1669550400,1.4516,59.21,40.79
1669572000,1.5069,60.11,39.89
1669593600,1.5634,60.99,39.01
1669615200,1.9412,66.0,34.0
1669636800,1.8645,65.09,34.91
1669658400,1.8466,64.87,35.13
1669680000,1.9138,65.68,34.32
1669701600,1.6717,62.57,37.43
1669723200,1.4219,58.71,41.29
1669744800,1.5733,61.14,38.86
1669766400,1.5419,60.66,39.34
1669788000,1.3776,57.94,42.06
1669809600,1.3535,57.51,42.49
1669831200,1.368,57.77,42.23
1669852800,1.2497,55.55,44.45
1669874400,1.0542,51.32,48.68
1669896000,1.0751,51.81,48.19
1669917600,1.1678,53.87,46.13
1669939200,1.2104,54.76,45.24
1669960800,1.2462,55.48,44.52
1669982400,1.2523,55.6,44.4
1670004000,1.2999,56.52,43.48
